order	module	LOC	fan_in	scc	direct_deps	gating_tests(top4,by cases)
0	ReactFiberConfig	17	29	-		ReactConfigurableErrorLogging-test.js(4)
1	ReactFiberFlags	130	22	-		ReactSubtreeFlagsWarning-test.js(1)
2	Scheduler	31	5	-		ReactSchedulerIntegration-test.js(6)
3	ReactWorkTags	71	28	-		
4	clz32	24	2	-		
5	ReactRootTags	11	9	-		
6	ReactPortal	42	1	-		
7	ReactTestSelectors	542	2	-	ReactFiberConfig	ReactHooksWithNoopRenderer-test.js(97),ReactSuspenseWithNoopRenderer-test.js(70),ReactUse-test.js(50),ReactSuspenseList-test.js(49)
8	ReactTypeOfMode	19	15	-		StrictEffectsMode-test.js(16),StrictEffectsModeDefaults-test.internal.js(15),ActivityStrictMode-test.js(5)
9	ReactHookEffectTags	16	4	-		ReactHooksWithNoopRenderer-test.js(97),ReactHooks-test.internal.js(43),ReactSuspenseEffectsSemantics-test.js(25),ReactIncrementalSideEffects-test.js(20)
10	ReactFiberMutationTracking	49	3	-		
11	ReactPostPaintCallback	24	1	-	ReactFiberConfig	ReactSuspenseCallback-test.js(5),ReactClassSetStateCallback-test.js(1)
12	ReactFiberWorkLoop	5246	24	SCC12(59)	ReactCapturedValue,ReactChildFiber,ReactCurrentFiber,ReactEventPriorities,ReactFiber,ReactFiberAct,ReactFiberActivityComponent,ReactFiberApplyGesture,ReactFiberAsyncDispatcher,ReactFiberBeginWork,ReactFiberCacheComponent,ReactFiberClassUpdateQueue,ReactFiberCommitViewTransitions,ReactFiberCommitWork,ReactFiberCompleteWork,ReactFiberConcurrentUpdates,ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberErrorLogger,ReactFiberFlags,ReactFiberGestureScheduler,ReactFiberHooks,ReactFiberHydrationContext,ReactFiberLane,ReactFiberLegacyContext,ReactFiberNewContext,ReactFiberOffscreenComponent,ReactFiberPerformanceTrack,ReactFiberRoot,ReactFiberRootScheduler,ReactFiberShellHydration,ReactFiberSuspenseComponent,ReactFiberSuspenseContext,ReactFiberThenable,ReactFiberThrow,ReactFiberTracingMarkerComponent,ReactFiberTransition,ReactFiberTransitionTypes,ReactFiberUnwindWork,ReactFiberViewTransitionComponent,ReactInternalTypes,ReactPostPaintCallback,ReactProfilerTimer,ReactRootTags,ReactStrictModeWarnings,ReactTestSelectors,ReactTypeOfMode,ReactWorkTags,Scheduler	
13	ReactFiberCommitWork	5082	1	SCC12(59)	ReactFiberActivityComponent,ReactFiberCacheComponent,ReactFiberClassUpdateQueue,ReactFiberCommitEffects,ReactFiberCommitHostEffects,ReactFiberCommitViewTransitions,ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberDuplicateViewTransitions,ReactFiberFlags,ReactFiberHooks,ReactFiberLane,ReactFiberMutationTracking,ReactFiberOffscreenComponent,ReactFiberPerformanceTrack,ReactFiberRoot,ReactFiberRootScheduler,ReactFiberSuspenseComponent,ReactFiberTracingMarkerComponent,ReactFiberTreeReflection,ReactFiberViewTransitionComponent,ReactFiberWorkLoop,ReactHookEffectTags,ReactInternalTypes,ReactProfilerTimer,ReactTypeOfMode,ReactWorkTags	ReactSuspenseyCommitPhase-test.js(16)
14	ReactFiberHooks	4889	9	SCC12(59)	ReactEventPriorities,ReactFiberAsyncAction,ReactFiberBeginWork,ReactFiberCacheComponent,ReactFiberCallUserSpace,ReactFiberClassUpdateQueue,ReactFiberConcurrentUpdates,ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberGestureScheduler,ReactFiberHiddenContext,ReactFiberHydrationContext,ReactFiberLane,ReactFiberNewContext,ReactFiberRootScheduler,ReactFiberThenable,ReactFiberTransition,ReactFiberTreeContext,ReactFiberWorkLoop,ReactHookEffectTags,ReactInternalTypes,ReactProfilerTimer,ReactTypeOfMode,ReactWorkTags,Scheduler	ReactHooksWithNoopRenderer-test.js(97),ReactHooks-test.internal.js(43)
15	ReactFiberBeginWork	4163	3	SCC12(59)	ReactCapturedValue,ReactChildFiber,ReactCurrentFiber,ReactFiber,ReactFiberActivityComponent,ReactFiberCacheComponent,ReactFiberCallUserSpace,ReactFiberClassComponent,ReactFiberClassUpdateQueue,ReactFiberConcurrentUpdates,ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberHiddenContext,ReactFiberHooks,ReactFiberHostContext,ReactFiberHotReloading,ReactFiberHydrationContext,ReactFiberLane,ReactFiberLegacyContext,ReactFiberNewContext,ReactFiberOffscreenComponent,ReactFiberReconciler,ReactFiberRoot,ReactFiberSuspenseComponent,ReactFiberSuspenseContext,ReactFiberThenable,ReactFiberThrow,ReactFiberTracingMarkerComponent,ReactFiberTransition,ReactFiberTreeContext,ReactFiberViewTransitionComponent,ReactFiberWorkLoop,ReactInternalTypes,ReactProfilerTimer,ReactStrictModeWarnings,ReactTypeOfMode,ReactWorkTags	
16	ReactChildFiber	2114	3	SCC12(59)	ReactCurrentFiber,ReactFiber,ReactFiberFlags,ReactFiberHotReloading,ReactFiberHydrationContext,ReactFiberLane,ReactFiberNewContext,ReactFiberThenable,ReactFiberTreeContext,ReactInternalTypes,ReactTypeOfMode,ReactWorkTags	
17	ReactFiberCompleteWork	2002	1	SCC12(59)	ReactChildFiber,ReactFiberActivityComponent,ReactFiberCacheComponent,ReactFiberConfig,ReactFiberFlags,ReactFiberHiddenContext,ReactFiberHostContext,ReactFiberHydrationContext,ReactFiberLane,ReactFiberLegacyContext,ReactFiberNewContext,ReactFiberOffscreenComponent,ReactFiberRoot,ReactFiberScope,ReactFiberSuspenseComponent,ReactFiberSuspenseContext,ReactFiberThenable,ReactFiberTracingMarkerComponent,ReactFiberTransition,ReactFiberTreeContext,ReactFiberWorkLoop,ReactInternalTypes,ReactProfilerTimer,ReactTypeOfMode,ReactWorkTags,Scheduler	
18	ReactFiberPerformanceTrack	1660	2	SCC12(59)	ReactCapturedValue,ReactFiberLane,ReactInternalTypes,ReactWorkTags,getComponentNameFromFiber	ReactPerformanceTrack-test.js(7)
19	ReactFiberApplyGesture	1299	1	SCC12(59)	ReactFiberCommitEffects,ReactFiberCommitViewTransitions,ReactFiberConfig,ReactFiberFlags,ReactFiberMutationTracking,ReactFiberOffscreenComponent,ReactFiberViewTransitionComponent,ReactFiberWorkLoop,ReactHookEffectTags,ReactInternalTypes,ReactProfilerTimer,ReactWorkTags	
20	ReactFiberLane	1167	31	SCC12(59)	ReactFiberConcurrentUpdates,ReactFiberDevToolsHook,ReactInternalTypes,ReactRootTags,clz32	
21	ReactFiberClassComponent	1128	2	SCC12(59)	ReactFiberClassUpdateQueue,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberLane,ReactFiberLegacyContext,ReactFiberNewContext,ReactFiberWorkLoop,ReactInternalTypes,ReactProfilerTimer,ReactStrictModeWarnings,ReactTypeOfMode	ReactClassComponentPropResolution-test.js(1),ReactClassSetStateCallback-test.js(1)
22	ReactFiberCommitViewTransitions	1088	3	SCC12(59)	ReactFiberConfig,ReactFiberFlags,ReactFiberViewTransitionComponent,ReactFiberWorkLoop,ReactInternalTypes,ReactProfilerTimer,ReactWorkTags	ReactSuspenseyCommitPhase-test.js(16),ViewTransitionReactServer-test.js(1)
23	ReactFiberCommitEffects	1005	2	SCC12(59)	ReactCurrentFiber,ReactFiberBeginWork,ReactFiberCallUserSpace,ReactFiberClassComponent,ReactFiberClassUpdateQueue,ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberHooks,ReactFiberViewTransitionComponent,ReactFiberWorkLoop,ReactHookEffectTags,ReactInternalTypes,ReactProfilerTimer,ReactTypeOfMode,ReactWorkTags	ReactSuspenseEffectsSemantics-test.js(25),ReactIncrementalSideEffects-test.js(20),StrictEffectsMode-test.js(16),ReactSuspenseyCommitPhase-test.js(16)
24	ReactFiberHydrationContext	916	8	SCC12(59)	ReactCapturedValue,ReactCurrentFiber,ReactFiber,ReactFiberActivityComponent,ReactFiberConfig,ReactFiberHostContext,ReactFiberHydrationDiffs,ReactFiberLane,ReactFiberSuspenseComponent,ReactFiberTreeContext,ReactFiberWorkLoop,ReactInternalTypes,ReactWorkTags	ReactNewContext-test.js(31),ReactContextPropagation-test.js(17),ReactFiberHostContext-test.internal.js(1)
25	ReactFiber	878	6	SCC12(59)	ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberHostContext,ReactFiberHotReloading,ReactFiberLane,ReactFiberOffscreenComponent,ReactFiberTracingMarkerComponent,ReactFiberViewTransitionComponent,ReactInternalTypes,ReactRootTags,ReactTypeOfMode,ReactWorkTags	
26	ReactFiberReconciler	848	2	SCC12(59)	ReactCurrentFiber,ReactFiberActivityComponent,ReactFiberAsyncAction,ReactFiberClassUpdateQueue,ReactFiberConcurrentUpdates,ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberErrorLogger,ReactFiberHooks,ReactFiberHotReloading,ReactFiberLane,ReactFiberLegacyContext,ReactFiberRoot,ReactFiberShellHydration,ReactFiberSuspenseComponent,ReactFiberTreeReflection,ReactFiberWorkLoop,ReactInternalTypes,ReactPortal,ReactProfilerTimer,ReactRootTags,ReactTestSelectors,ReactTypeOfMode,ReactWorkTags	
27	ReactFiberCommitHostEffects	787	1	SCC12(59)	ReactCurrentFiber,ReactFiberConfig,ReactFiberFlags,ReactFiberMutationTracking,ReactFiberWorkLoop,ReactInternalTypes,ReactWorkTags	ReactSuspenseEffectsSemantics-test.js(25),ReactIncrementalSideEffects-test.js(20),StrictEffectsMode-test.js(16),ReactSuspenseyCommitPhase-test.js(16)
28	ReactFiberClassUpdateQueue	696	10	SCC12(59)	ReactFiberAsyncAction,ReactFiberConcurrentUpdates,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberLane,ReactFiberNewContext,ReactFiberWorkLoop,ReactInternalTypes,ReactTypeOfMode,getComponentNameFromFiber	ReactIncrementalUpdates-test.js(16),ReactUpdaters-test.internal.js(7),ReactPersistentUpdatesMinimalism-test.js(3),ReactUpdatePriority-test.js(3)
29	ReactFiberTreeReflection	688	3	SCC12(59)	ReactFiberActivityComponent,ReactFiberConfig,ReactFiberFlags,ReactFiberSuspenseComponent,ReactInternalTypes,ReactWorkTags	ReactIncrementalReflection-test.js(1),ReactSubtreeFlagsWarning-test.js(1)
30	ReactFiberThrow	681	2	SCC12(59)	ReactCapturedValue,ReactCurrentFiber,ReactFiberCallUserSpace,ReactFiberClassUpdateQueue,ReactFiberDevToolsHook,ReactFiberErrorLogger,ReactFiberFlags,ReactFiberHotReloading,ReactFiberHydrationContext,ReactFiberLane,ReactFiberNewContext,ReactFiberOffscreenComponent,ReactFiberSuspenseComponent,ReactFiberSuspenseContext,ReactFiberThenable,ReactFiberWorkLoop,ReactInternalTypes,ReactRootTags,ReactTypeOfMode,ReactWorkTags	
